Genus,s.off,s.on,index,stat,p.value
 g__Meiothermus,1,0,1,0.2084894777890003,0.741
 g__Fusobacterium,1,0,1,0.5270767003722646,0.052
 g__Phascolarctobacterium,1,1,3,0.6652991438591156,NA
 g__Acidaminococcus,1,1,3,0.5432144762551112,NA
 g__Thermus,1,1,3,0.22176638128637186,NA
 g__Bifidobacterium,1,1,3,0.7242859683401482,NA
 g__Rhodococcus,1,0,1,0.20851441405707477,0.37
 g__Bilophila,1,1,3,0.6140433049287882,NA
 g__Desulfovibrio,1,1,3,0.652862549237373,NA
 g__Escherichia-Shigella,1,1,3,0.7355158778417887,NA
 g__Catenibacterium,1,0,1,0.652937697801936,0.033
 g__Erysipelotrichaceae_UCG-003,1,1,3,0.4246502900652006,NA
 g__RF39,1,0,1,0.46255468171275416,0.209
 g__Collinsella,1,1,3,0.7242859683401482,NA
 g__Dialister,1,1,3,0.6652991438591156,NA
 g__Anaerovibrio,1,0,1,0.46083490825189827,0.041
 g__Megasphaera,1,1,3,0.652862549237373,NA
 g__Peptoclostridium,0,1,2,0.22941573387056177,0.541
 g__Parasutterella,1,1,3,0.4435327625727437,NA
 g__Sutterella,1,1,3,0.6140433049287882,NA
 g__Succinivibrio,1,1,3,0.5121475197315839,NA
 g__Geobacillus,0,1,2,0.4291477519019066,0.099
 g__Lactobacillus,1,1,3,0.47907013758040845,NA
 g__Streptococcus,1,1,3,0.6775074858941582,NA
 g__Holdemanella,1,1,3,0.6140433049287882,NA
 g__Prevotella,1,1,3,0.7788179357521117,NA
 g__uncultured,1,1,3,0.5432144762551112,NA
 g__Rikenellaceae_RC9_gut_group,1,0,1,0.5263580995837479,0.068
 g__CAG-873,1,0,1,0.41226184469425453,0.023
 g__Muribaculaceae,1,0,1,0.6676670407795258,0.069
 g__Paraprevotella,1,1,3,0.5279095799378564,NA
 g__Alloprevotella,1,1,3,0.6401843996644799,NA
 g__Bacteroides,1,1,3,0.7892723355548015,NA
 g__Parabacteroides,1,1,3,0.7682212795973759,NA
 g__Alistipes,1,1,3,0.7465768876548,NA
 g__Akkermansia,1,1,3,0.652862549237373,NA
 g__Clostridia_UCG-014,1,0,1,0.6102442398784931,0.047
 g__Flavonifractor,1,1,3,0.6401843996644799,NA
 g__Colidextribacter,1,1,3,0.7128791772183246,NA
 g__NK4A214_group,1,1,3,0.6401843996644799,NA
 g__UCG-005,1,1,3,0.6652991438591156,NA
 g__UCG-002,1,1,3,0.7128791772183246,NA
 g__Oscillibacter,1,1,3,0.7355158778417887,NA
 g__uncultured,1,1,3,0.7574763968621587,NA
 g__Incertae_Sedis,1,1,3,0.7682212795973759,NA
 g__CAG-352,1,1,3,0.2862991671569341,NA
 g__Ruminococcus,1,1,3,0.7242859683401482,NA
 g__[Eubacterium]_siraeum_group,1,1,3,0.5279095799378564,NA
 g__[Eubacterium]_hallii_group,1,1,3,0.7574763968621587,NA
 g__Clostridium_sensu_stricto_1,1,1,3,0.5725983343138682,NA
 g__Christensenellaceae_R-7_group,1,1,3,0.7128791772183246,NA
 g__Monoglobus,1,1,3,0.6401843996644799,NA
 g__Butyricicoccus,1,1,3,0.7682212795973759,NA
 g__Faecalibacterium,1,1,3,0.7788179357521117,NA
 g__Subdoligranulum,1,1,3,0.7465768876548,NA
 g__UBA1819,1,1,3,0.7012868733182767,NA
 g__[Eubacterium]_coprostanoligenes_group,1,1,3,0.7574763968621587,NA
 g__Lachnospiraceae_NK4A136_group,1,1,3,0.7128791772183246,NA
 g__Lachnoclostridium,1,1,3,0.7892723355548015,NA
 g__Lachnospiraceae_ND3007_group,1,1,3,0.6775074858941582,NA
 g__Anaerostipes,1,1,3,0.7355158778417887,NA
 g__[Eubacterium]_ruminantium_group,1,1,3,0.5121475197315839,NA
 g__[Eubacterium]_eligens_group,1,1,3,0.6652991438591156,NA
 g__Lachnospira,1,1,3,0.6652991438591156,NA
 g__Agathobacter,1,1,3,0.7788179357521117,NA
 g__Roseburia,1,1,3,0.7574763968621587,NA
 g__[Ruminococcus]_torques_group,1,1,3,0.7892723355548015,NA
 g__Dorea,1,1,3,0.7242859683401482,NA
 g__Coprococcus,1,1,3,0.7128791772183246,NA
 g__[Ruminococcus]_gauvreauii_group,1,1,3,0.6652991438591156,NA
 g__Blautia,1,1,3,0.7892723355548015,NA
 g__Fusicatenibacter,1,1,3,0.7574763968621587,NA
 g__uncultured,1,1,3,0.7574763968621587,NA
