"","taxon","lfc_(Intercept)","lfc_antidepressant_on_offon","se_(Intercept)","se_antidepressant_on_offon","W_(Intercept)","W_antidepressant_on_offon","p_(Intercept)","p_antidepressant_on_offon","q_(Intercept)","q_antidepressant_on_offon","diff_(Intercept)","diff_antidepressant_on_offon","passed_ss_(Intercept)","passed_ss_antidepressant_on_offon","diff_robust_(Intercept)","diff_robust_antidepressant_on_offon"
"1","771297580338a662f0c1fb0000f33e3c",0.0341077980402154,0.231392415689596,0.0659999588757862,0.146407001961147,0.51678514079694,1.58047369722796,0.612375562782452,0.133562518549674,0.751317917363344,0.246837059598131,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2","b9eadd7c15566af3bb15cee86f75e769",0.290418052752434,-0.248459480141734,0.0918934449410274,0.174255703063573,3.16037833752788,-1.42583270316892,0.0101522751083627,0.184377527598636,0.0344705154842082,0.313013011969777,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"3","c49bc9c1c22dd48888d2e1e060306218",-0.605888626036371,1.23706199013637,0.158155792773355,0.240927352670709,-3.83096069648639,5.13458507896005,0.000725410112244951,2.35671994513283e-05,0.0034164476254117,0.000433046477972767,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"4","1b91af1335f5b38083d553659b358c45",-0.117426749906962,0.428211717954766,0.230028021190824,0.317532713327255,-0.510488893044678,1.34855937666316,0.611869349134625,0.183322895360232,0.751317917363344,0.313013011969777,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"5","0ed13e9a3209e5ef433060aacd9e16ad",0.0522567960313925,0.204313455619553,0.136692257988202,0.232923643528535,0.382295214085225,0.877169241063,0.705128838778394,0.387859103281071,0.823590483693164,0.539308848371774,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"6","f64933c998313b78c2179f488bfb0953",-0.00154634132292416,-0.0586930282168292,0.0773581292123191,0.158724292339039,-0.0199893836455123,-0.369779744183452,0.984179950346232,0.714060852257177,0.991901883135862,0.783856273906375,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"7","b1312478658160c25c92a75d5272c96d",-0.113332924027862,0.31680325930856,0.262980302480794,0.348212758955404,-0.430955942170381,0.90979796449427,0.668215857954845,0.366972174472451,0.806276985631466,0.515172475701711,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"8","8878e25191e464f0a29c75e59a14a9c1",-0.00647051479355698,0.163701620632244,0.0504729898295769,0.147265353624516,-0.128197572907902,1.11160987023218,0.900534133418546,0.292316427936211,0.945884773230991,0.447520533805235,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"9","06a6e5bcf8c2b8dc026c93190ef43175",-0.103748720595468,0.179565149325622,0.134284254468495,0.220503461409169,-0.772605254473892,0.814341635174688,0.444297452235821,0.420271104088082,0.582060810805336,0.572285732308382,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"10","3a7495f68945aa7071868ee6f0255243",0.485389979275255,-0.447996992684959,0.0762020813079304,0.178925462300844,6.36977325217416,-2.50381911508883,1.58831452990478e-07,0.0165795410138941,4.63787842732196e-06,0.0578440021195935,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
