feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
dc64f4ef4d4f99019072896947b19e4a	antidepressant_on_off	on	-0.0636296393670864	0.0178528854594513	104	19	0.000557134577163972	0.0539008161546122
X4499b0901e611126af0d04752c158976	antidepressant_on_off	on	-0.0643563868293927	0.0185026478330668	104	14	0.000743459533167064	0.0539008161546122
X07f847da0f14d338851bff36302b1d5d	antidepressant_on_off	on	-0.0425020741316843	0.0186516534899008	104	22	0.0247671497108349	0.897809177017764
X6da2b787d29350a11f29bcb992887a84	antidepressant_on_off	on	-0.0415436577569189	0.0180370595333291	104	22	0.0232948743972905	0.897809177017764
b9eadd7c15566af3bb15cee86f75e769	antidepressant_on_off	on	-0.0182695341140175	0.019572208296324	104	12	0.352795884177099	0.899241014717205
X06a6e5bcf8c2b8dc026c93190ef43175	antidepressant_on_off	on	0.023790370273491	0.0170142238908707	104	42	0.165066841770363	0.899241014717205
X57f0e6566995476b5eae2b4237c930fd	antidepressant_on_off	on	-0.0249229296410818	0.020334448981884	104	16	0.223152611007852	0.899241014717205
X5aaba32e1583dee8243e66c42c2b5d8f	antidepressant_on_off	on	-0.0260124363299178	0.0197412192371889	104	13	0.190565687797038	0.899241014717205
X64c2b64c19934ba2360fe284744fd1ad	antidepressant_on_off	on	-0.0181138383121492	0.0199872741952343	104	45	0.366929624199431	0.899241014717205
X36e64f6a14c31701a814ed88d61c5cf7	antidepressant_on_off	on	-0.0232705607964058	0.0200376792425297	104	17	0.248214149299002	0.899241014717205
f8975af07a433935c8615060ce6ae7d6	antidepressant_on_off	on	0.0244421195909346	0.0189173229228675	104	16	0.199259687826415	0.899241014717205
X087666690375b777048b392f8b3086a5	antidepressant_on_off	on	-0.0196662920800712	0.0196758912733507	104	18	0.319911949157376	0.899241014717205
X81f53cd7f9d10322ad2f9e2e1f30a7cc	antidepressant_on_off	on	0.0178589714304317	0.0187652243015847	104	14	0.343496003718887	0.899241014717205
X18bbaffee20be0f8ffbf263c1b82da7d	antidepressant_on_off	on	0.0169731889686778	0.0150437800953393	104	57	0.261859925659525	0.899241014717205
X42335451002e743fd705a300b373fb75	antidepressant_on_off	on	-0.0174974582794753	0.0186424848906591	104	23	0.350163801994973	0.899241014717205
X91ac12f2a71a81a4a145517e0667c7c4	antidepressant_on_off	on	-0.0338321979212292	0.0193206615347458	104	17	0.082936808194357	0.899241014717205
X53b54658de0c46c18eda9f4c5a232b65	antidepressant_on_off	on	-0.0268086394346773	0.0175052009285083	104	43	0.128749691344698	0.899241014717205
X8a303db3d6b466981499de25a5ec66d4	antidepressant_on_off	on	-0.0191511408559578	0.0176846071325283	104	29	0.281394130393378	0.899241014717205
c91f61773a85a5101c797a8429bcb87e	antidepressant_on_off	on	0.0238454299871107	0.0162409879865555	104	54	0.145120144532776	0.899241014717205
da04216f075e5d1b2cddc09c16442df9	antidepressant_on_off	on	0.0190023298258835	0.0185312110053726	104	33	0.30758935780841	0.899241014717205
X8d7c014aca86872e7451df4c18536eab	antidepressant_on_off	on	-0.0168852515164476	0.0190819208206257	104	19	0.378301392398273	0.899241014717205
X06a8b3896e4a86a7c3116e0f4243320c	antidepressant_on_off	on	0.0251383471771052	0.0188913333977336	104	14	0.186260988683694	0.899241014717205
ce8273b6d1fea2b1dca4e24ea7b6a20f	antidepressant_on_off	on	0.025198455746681	0.019288095020315	104	35	0.194346140431318	0.899241014717205
X0e21cc1bf0d4d2cf722112c5a4ae3134	antidepressant_on_off	on	0.0301808172967878	0.0166652984282114	104	62	0.0730846622172678	0.899241014717205
babe546a127e4bbe62e70c16fdffa445	antidepressant_on_off	on	0.0156013883035566	0.0175900570011684	104	42	0.377195778147226	0.899241014717205
X68a1c62a19d5dd68a1040859934424ab	antidepressant_on_off	on	-0.0233436878319824	0.0163176260796237	104	68	0.155606706002462	0.899241014717205
f929e8cafcf24c0b194d9e48dbc3b231	antidepressant_on_off	on	-0.0184189549226797	0.0175866422470774	104	32	0.297424500250486	0.899241014717205
X4cc94dcec64fcf2693e3fd9bf39bf861	antidepressant_on_off	on	-0.0344564972814891	0.0182042112884602	104	25	0.061222567262107	0.899241014717205
X04ed5d51a7dfe83b5376c26987e076cd	antidepressant_on_off	on	-0.0278992001192546	0.0208067729753168	104	39	0.182940793552169	0.899241014717205
X2dd19b4e6a7867a118b429880e0949d3	antidepressant_on_off	on	-0.0174572215949454	0.0195629789420707	104	14	0.37430036070926	0.899241014717205
X6a506a10888b7f86ae1e463f5d186473	antidepressant_on_off	on	-0.0229313044811288	0.0175111590204244	104	40	0.193298534691971	0.899241014717205
X000d78770aa3b46d4f84568a723d1c62	antidepressant_on_off	on	-0.0223749996459625	0.0187162734044278	104	22	0.234670099187434	0.899241014717205
f2ae9532a9ca729854cdf2c07064f994	antidepressant_on_off	on	0.0174048674833343	0.0151088249835548	104	69	0.2520275326202	0.899241014717205
X86ec537716ccea996d29a025dbd0e0da	antidepressant_on_off	on	-0.0273107247802502	0.0181752561778064	104	33	0.136023675309067	0.899241014717205
X792add25fd6668fad2a952ef3b123c8b	antidepressant_on_off	on	-0.020017122990719	0.0169386896141883	104	45	0.240056778957632	0.899241014717205
X98eb701f5f4286f77b9e839055caf304	antidepressant_on_off	on	-0.0255070246485105	0.0172177624766638	104	33	0.141572933731694	0.899241014717205
X25c1653a751b87e522eb1d73426f2d0b	antidepressant_on_off	on	-0.0325962377839418	0.0161568360543691	104	49	0.0462711470602855	0.899241014717205
X7f6dec8c96033aba04deee885932a9a7	antidepressant_on_off	on	-0.0212068775710567	0.0189156875774703	104	25	0.264866616253536	0.899241014717205
X3f9e29a1882407186ab82a472f22cf3c	antidepressant_on_off	on	0.0304551033793618	0.0185577285319339	104	27	0.103856586192941	0.899241014717205
X9f9df4b3b3d526b6b619dc40863ad440	antidepressant_on_off	on	-0.0185031052588534	0.0181274457081516	104	33	0.309800454665455	0.899241014717205
X4517bdd009f366580e3ea16dd9dce1a7	antidepressant_on_off	on	0.0318906958543072	0.0178463864426434	104	31	0.0769151482383261	0.899241014717205
fbd1882d5055c77a88c20831b56943f3	antidepressant_on_off	on	0.0223268278981815	0.0150893161311905	104	68	0.142050049494432	0.899241014717205
df6598227bff6741eee326b1cfce64bc	antidepressant_on_off	on	-0.0201063943976011	0.0185084197928636	104	18	0.279890234334648	0.899241014717205
b9abed8a2eca761efe3e1e92673141cf	antidepressant_on_off	on	0.0250557428843101	0.0212602040893352	104	20	0.2413282722623	0.899241014717205
X217e0615440425fc33232133073bbca1	antidepressant_on_off	on	0.0192570405816289	0.0181493887480214	104	24	0.291182278181207	0.899241014717205
X027db393f177304c52d7ec941f8abcf2	antidepressant_on_off	on	0.0201941722641762	0.0210695115933192	104	12	0.340099883953924	0.899241014717205
X52587fe587b5a2f19c6d2c4bf275d9e3	antidepressant_on_off	on	0.0144404511603448	0.0161901931092393	104	43	0.374531988404071	0.899241014717205
cd97244e66c39dce8f4676f84c858217	antidepressant_on_off	on	0.0247874575316369	0.0191001830111009	104	15	0.197296914464908	0.899241014717205
X2a65ea84af79ed5b12133b79a4316e73	antidepressant_on_off	on	-0.0309544558423016	0.0164905569730424	104	35	0.0633617545072646	0.899241014717205
d0d50837ea593505e44f737833bece1d	antidepressant_on_off	on	0.0185572024754601	0.0195855901678423	104	11	0.345627160782084	0.899241014717205
X91a87325405bbe801e6b80e84794a59c	antidepressant_on_off	on	0.0244060524698208	0.0190463564802644	104	23	0.202957697292731	0.899241014717205
d00543d8297858e5fa92233bead584fb	antidepressant_on_off	on	0.0149946599786787	0.015686639241658	104	61	0.34138920524273	0.899241014717205
