feature	X771297580338a662f0c1fb0000f33e3c	b9eadd7c15566af3bb15cee86f75e769	c49bc9c1c22dd48888d2e1e060306218	X1b91af1335f5b38083d553659b358c45	X0ed13e9a3209e5ef433060aacd9e16ad	f64933c998313b78c2179f488bfb0953	b1312478658160c25c92a75d5272c96d	X8878e25191e464f0a29c75e59a14a9c1	X92bb55d78fc8f3bad70bbc6b9034a795	fc3c9f86dc3321b88cc05450fa4d662a	X06a6e5bcf8c2b8dc026c93190ef43175	X3a7495f68945aa7071868ee6f0255243	X9132071c6a76ae971f847adc316f0af8	X265f63913fa0c782699945b493eeaeca	X1815597849cf47548b8456c4c080f334	X57f0e6566995476b5eae2b4237c930fd	d348b3e42b9cd325d1f0088462aedcf3	X07f847da0f14d338851bff36302b1d5d	X5aaba32e1583dee8243e66c42c2b5d8f	X6529f9e2b6de004f778a46eb4152553f	bfa34beed32ba71739902beda134f453	c5f3f2c2df993aa6d42e7a77918935df	X64c2b64c19934ba2360fe284744fd1ad	X130a8330de52a69354df4f227b62c052	X36e64f6a14c31701a814ed88d61c5cf7	f8975af07a433935c8615060ce6ae7d6	X087666690375b777048b392f8b3086a5	d3a7153014cbb497d7bd025e099be3fe	fe437dbf6f413de277ea1f26f2ee91d7	X43dc4561632b971be06fe9603e0864ad	X7a719f10db03cf19d136e08224ba0da9	dc0a91a3f930fef8628944f01c976b6a	X2fd96dc0d1649785e2b695005e5b6cbb	X81f53cd7f9d10322ad2f9e2e1f30a7cc	X18bbaffee20be0f8ffbf263c1b82da7d	X6da2b787d29350a11f29bcb992887a84	X7130d2759c244668bb8c5e95013d039a	f8f3495ffa8ad111c9a314f196b839e4	X42335451002e743fd705a300b373fb75	X5cf08d107f10bc4571dd491a9bcb59b3	X91ac12f2a71a81a4a145517e0667c7c4	X05b3c37966de355dc39930c4103ff589	X53b54658de0c46c18eda9f4c5a232b65	X8a303db3d6b466981499de25a5ec66d4	X01901d6f4c906a71e2488045523ca7c2	c91f61773a85a5101c797a8429bcb87e	X001f5b5d17a34cb4bb03f20e9b6dc5df	X7c9d107e91d815d347bc278420773c54	X824ecebeb43c725d47bbbcd1bd7d0348	da04216f075e5d1b2cddc09c16442df9	X8d7c014aca86872e7451df4c18536eab	a80bf7b1576855543aaeed1c9d8be02d	X05f8c43bb34deb40cbcc164e64410db6	f1767e229fc331132c66ba7f47cc3ea3	X4790469e65b73b73a8cee2300ea51fa7	X06a8b3896e4a86a7c3116e0f4243320c	a7e85c6aac48df33665b07f5620aeef2	ce8273b6d1fea2b1dca4e24ea7b6a20f	X0e21cc1bf0d4d2cf722112c5a4ae3134	X26b0599c6f3f889fc1441babff4f74cd	babe546a127e4bbe62e70c16fdffa445	X68a1c62a19d5dd68a1040859934424ab	X2cededbc6f5d2e4e6460d95dd642ab39	f929e8cafcf24c0b194d9e48dbc3b231	X4cc94dcec64fcf2693e3fd9bf39bf861	X04ed5d51a7dfe83b5376c26987e076cd	X06f459e94bb69e7b8f7bdffcea3e2dc2	X2dd19b4e6a7867a118b429880e0949d3	X6a506a10888b7f86ae1e463f5d186473	X000d78770aa3b46d4f84568a723d1c62	e3b9d440eb993245b3b1d99e260ecc19	f2ae9532a9ca729854cdf2c07064f994	X899577a10741d336f48d2be23f9b0be7	X5e22ac39af6385a9a5d7a57992e0d8ba	X110ad3992f825e7203f1923383607888	X86ec537716ccea996d29a025dbd0e0da	X932d0c1f666b3a433687e95af993451a	X7ef15f834ddeffade9a799c5697cc61a	X16d12481fde3cfa6a4db366d25411122	X68125101a0cb11e3324fde7378226ba1	X792add25fd6668fad2a952ef3b123c8b	X98eb701f5f4286f77b9e839055caf304	X25c1653a751b87e522eb1d73426f2d0b	fc89b71ba14dc877e9e8527e6ed60391	X7f6dec8c96033aba04deee885932a9a7	X80ab11a5d085a5bcce2d24702f32bef1	X3f9e29a1882407186ab82a472f22cf3c	X9f9df4b3b3d526b6b619dc40863ad440	X973fc25b140faf326d124b9e2b6c8abf	X4517bdd009f366580e3ea16dd9dce1a7	fbd1882d5055c77a88c20831b56943f3	X484cb0f953ccaafa5a0308ae49649e41	X73e5b567bf8428743df8b7f78c8ec1b0	df6598227bff6741eee326b1cfce64bc	b9abed8a2eca761efe3e1e92673141cf	X35fdc9ee28cfc2bbde8d1a15cbb278fe	X13fae76db728266d715f43da8b06cb88	X5585e9ecc7d66b7cd2bc1e2aa80c2470	X217e0615440425fc33232133073bbca1	X0603ad3948b90513ee2cc9eaea5fe011	e174d720ff388a11cfdb310730da02d6	X24e658af979937b9200c49292aa8d919	X3b482af565b56c1b175737c5a08f86fb	b3879d9217bbd709b5f87450728b376c	X699913be41bb8e0253dcbfa042984047	X8701bea1e2e80de700c6f7848103f86d	X900bca7fdfd6334ecb71c7d66951a14f	X15de8f3c7d606dc32447b7267f7c265e	X07b64b23fa88ace003944a6bd9ee7bb7	X027db393f177304c52d7ec941f8abcf2	X3362fd00f03d30b01ed4d6a0549440eb	X1a5a9a605e5854850568c0c6fbf6dc02	X9a5ad3e5c9abb12041ebce1cf20b2b3c	X2bb41e138153ad02a6fa5519b33bce6b	d4debe4c70fe5b905a42e3561015b680	ce7260fe3f31c7fa47ae17dc33d2b8f7	d00c0229d6c816a536d76703e1657694	X0a07b7b208f82e574548033057612667	f026bc3d92e943febaa74d620be5400d	dc64f4ef4d4f99019072896947b19e4a	X52587fe587b5a2f19c6d2c4bf275d9e3	X2f2ff15fe3d7d5b9f3eaf57c0085d696	cd97244e66c39dce8f4676f84c858217	f769025ae5e54c2b1c149e59018be56b	X2a65ea84af79ed5b12133b79a4316e73	d0d50837ea593505e44f737833bece1d	X6095f2881754dad1717ec230da3fdd17	X20ec2008e0cde12ae9db741e1fdbf894	X504687adb582701412c2398587d62e90	X91a87325405bbe801e6b80e84794a59c	b606c96aedd0a6e01aa38924a1e6ac97	X097138be3a15c87233cb01e6ee6a4da4	X99d3a570385395e7b7bbc7730e1e2241	cee9524606a8ab5eadbae08cbd21e830	X42f2c85e07acb225914a6f74539a7493	d00543d8297858e5fa92233bead584fb	X2440362c889061ed1e3336b6294559b9	X3a8cde26979f03989e6a8daa6b6afe3f	X4499b0901e611126af0d04752c158976	X6f6bb5719a47837bec3b21f081649fa1	X624bf43afb17a855a6d5c7b51078d497	X51aa2158188e220896f9ae6799b3799f	X70ac971d9d8650d6d1b756a39b8709c8	cfccfa9165148a389d5d226d7f97efff	X250ae434718610d409882ad11002f97d	X9b240322f8821ffba1a5f8bb330b0939	X45c8d14eb00ef2e9f7e2c5dd9f9e58bc	X7b73f487be48db4355bd16e9c7fcd104	d062c370afa965a780cca734ce7f438f	ad6578b29eaa8bbabaa2b32058cf16b9	X34b8adfd383e67b3a25385389ecc77de	feb2e37114daa6d2f4387811e83850ba	X14e5bc76eb89c574b800654364a9a6d2	X37bcb14fa58242d26a64d6e6f3c67665	d5cbbc9a01e17da0efbca098fa6736f9	X0d3b0b9d68763805793f9266323bf863
ERR12448532	0.0867052023121387	0	0	0.000233216724970848	0	0.0155763239875389	0.00400230763683565	0.1015625	0	0	0	0.00334855403348554	0.000849199414175477	0	0	0	0	0.0384193194291987	0.032967032967033	0.0306703968500673	0	0	0	0	0	0	0	0	0	0.0239471511147812	0.0185873605947955	0.00662251655629139	0.0326086956521739	0	0.0253084466940841	0.0113268608414239	0.000960576345807485	0	0	0	0.00479233226837061	0.00271923861318831	0.000454733360892931	0	0	0.00758317025440313	0.0670618747684328	0	0	0	0	0	0	0	0	0	0	0.0207588312254688	0.0568720379146919	0.0470588235294118	0.0434028418527404	0.000519906964016965	0.00183755972069092	0	0	0.000200883889112093	0	0	0.00226149323167383	0.00125	1.28617776906035e-05	0	0	0	0	0	0.0037474776592678	0	0	0	0.000394788787998421	0	0	0	0	0	0	0	0	0	0.00333921370967742	0	0	0	0	0.0143110756856636	0	0	0	0	0	0.078125	0	0	0	0.00263648639958845	0	0.00168539325842697	0.0136804104123124	0	0	0	0.00825415032629082	0	0.00955572789718591	0	0	0	0.0034867607396701	0	0.00947306098283008	0.00047071283575064	0	0	0	0	0.008274231678487	0.00545454545454545	0.00638449572206378	0	0	0.00099502487562189	0	0	0	0.0219398790327803	0.000354697006902949	0.0098885754181984	0	0	0	0	0.0400036926485522	0	0	0	0.00791030831516661	0.0279832457000267	0.0133652871232372	0.0196914998359042	0	0.0040625	0.000355050594709746	0	0.00160946539649398	0
ERR12448550	0	0	0.00251916170874203	0.00489755122438781	0	0.0560747663551402	0.000144227302228312	0	0	0	0	0	0	0	0	0	0	0	0	0.0132801436811384	0	0	0.00257842715943275	0	0	0	0	0.0180412371134021	0	0	0	0.023841059602649	0	0.0344827586206897	0.0314246546451545	0	0	0	0	0	0	0	0.000351384869780901	0.0127272727272727	0.0552147239263804	0.0525929549902153	0	0	0	0	0	0.0818941504178273	0	0	0	0	0	0.000872219799389446	0.0020240916271722	0.0117647058823529	0.000295257427569662	5.16866572414527e-05	0	0	0	0	0	0	0	0	0.00115755999215432	0.000285492883070272	0	0.0015341780782999	0	0.000298087978537666	0.0291150187373883	0	0.00312155710613294	0.029002079002079	0	0	0	0.00351988736360436	0	0.0176116838487973	0	0.00925925925925926	0.0408163265306122	0.162186788154897	0.0730216733870968	0.15907797381901	0.0180555555555556	0	0	0.00101445599797109	0.025	0	0	0	0.119402985074627	0	0.00189753320683112	0	0.0121951219512195	0.00270079094591988	0.0869333333333333	0	0.0260307809234277	0	0.103448275862069	0	0	0	0	0.00180220770443794	0.0329113924050633	0.076271186440678	0.0394719196554961	0	0	0.0296843282045247	0.340637450199203	0	0	0.285714285714286	0	0.0418181818181818	0.0935960591133005	0.0413638904415875	0	0	0	0.282913165266106	0.00661157024793388	0	0.0198084636162724	0.039639793679291	0	0.0245231607629428	0.00207422535660721	0.0331094049904031	0	0	0	0.0611510791366906	0	0.0224578914535246	0.077045503425815	0.0219888414834263	0	0	0.0153263506716374	0.138216560509554	0.00974379050850407	0.00440528634361234
ERR12448551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173652694610778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR12448557	0.092485549132948	0.0203045685279188	0	9.99500249875062e-05	0	0	0.00295665969568039	0	0	0	0	0.032572298325723	0	0	0	0	0	0.233260153677278	0	0.0169412496114392	0	0	0	0	0	0	0.239126606796971	0	0	0.00990916597853014	0.0297397769516729	0.0145695364238411	0.0951086956521739	0	0.0119160603184646	0.0550161812297735	0.0124874924954973	0.00734753857457752	0	0	0	0	0.00266639107069037	0.0127272727272727	0	0.0063600782778865	0.0181548721748796	0	0	0.0136296296296296	0	0	0	0	0.000162792212020577	0	0.0234113712374582	0	0.00320892575039494	0.161764705882353	0.025576674663222	0.00110670254328758	0	0.000644814615797958	0	0.000502209722780233	0.000148820596770593	0	0.00158304526217168	0	3.21544442265088e-05	0.000652555161303479	0	0.000284107051537019	0	0.0183537026785334	0.000864802536754108	0	0	0.0024948024948025	0.00697460192130544	0.00238549618320611	0.00339939566299325	0	0	0	0	0	0	0	0.0235635080645161	0.0421985527278641	0	0	0	0.0140212311148147	0	0	0	0	0	0.0568181818181818	0	0.00303234501347709	0	0.0112532956079995	0	0	0.0121603648109443	0	0	0	0.0296916900469673	0.0147783251231527	0.0114114779525814	0	0.00232067510548523	0	0.0060645795771185	0	0.0390763765541741	0.0279191550704598	0	0.0220779220779221	0.0169491525423729	0	0.0189125295508274	0.0272727272727273	0.00077780658542909	0.00279485746226942	0	0.00099502487562189	0	0	0.0710743801652893	0.00655347036044087	0.00744863714496194	0.0130517796586019	0.371578947368421	0.0217983651226158	0	0	0.0191710004000369	0.00506585612968592	0.0520156046814044	0	0.0186857676736219	0.0339541930309242	0.00804989707192675	0.0269117164424024	0.0448207171314741	0.0203125	0.00147937747795728	0	0.00121797381356301	0
ERR12448559	0	0	0	0.0678327502915209	0	0	0	0	0.0198863636363636	0	0.0474095796676442	0	0.00697820388170283	0	0	0	0.0195394277739009	0	0	0.000189963043553345	0	0	0.00530010027216731	0.0280811232449298	0.0213539300318037	0	0	0	0	0.0123864574731627	0	0.00529801324503311	0	0	0.0172941052409575	0	0	0	0	0	0	0	0.193137660190161	0	0.0736196319018405	0.00220156555772994	0.0570581696924787	0	0	0	0	0.0454967502321263	0	0.119191260394587	0	0	0	0.000174443959877889	0.00118483412322275	0.0117647058823529	0.000369071784462078	5.77674404463295e-05	0	0	0	0	0	0	0	0	0.0553924610690067	0.0210449039520372	0	0.00653446218535144	8.52496749856141e-05	0	0.0466993369847218	0.0150732728541521	0.0306647080426001	0	0	0	0	0.00897571277719113	0	0	0.00119189511323004	0.00617283950617284	0	0.0332574031890661	0.00453629032258065	0	0	0	0	0.000362305713561103	0	0	0	0.0757097791798107	0	0	0	0	0	0	0	0	0.0450313509405282	0	0	0	0	0	0	0.00478711421491327	0	0.0169491525423729	0	0	0	0.00305963343237916	0	0	0	0	0	0	0.000421311900440757	0	0	0	0	0	0.0115702479338843	0	0	0.120686215838819	0	0	0.0036059610045633	0.00383877159309021	0	0	0	0	0	0	0.018434878790672	0	0	0	0.195770952916346	0	0.070424985862804	0.044297601566324
ERR12448564	0	0	0	0.000233216724970848	0.0406181729913423	0	0.00237975048676715	0	0	0	0	0.0197869101978691	0	0.0227722772277228	0	0.00860585197934595	0	0.0246981339187706	0.0285714285714286	0.00267675197734259	0	0	0	0	0	0	0	0	0	0.00165152766308836	0	0.00264900662251656	0	0	0.00105451861225351	0.0113268608414239	0.024628110199453	0.0198383541513593	0.0732177263969171	0	0.00838658146964856	0.0142760027192386	0.042972302604382	0	0	0.00464774951076321	0	0	0	0.00118518518518519	0.0255474452554745	0	0	0	0.012144299016735	0	0	0.00854775403401657	0.00311018957345972	0	0.00129175124561727	0.0578860157188246	0.0172730613744947	0.0447071466953251	0.0145631067961165	0.00321414222579349	0.000744102983852965	0.0204081632653061	0.012858204374374	0.03	9.96787771021772e-05	8.15693951629349e-05	0	0.000340928461844423	0	0.00076651194481114	0.00230614009801095	0	0.000918105031215571	0.00810810810810811	0.00618502434530859	0.0205152671755725	0.00471027372911482	0	0.00157150340492404	0.00171821305841924	0	0.00462962962962963	0	0	0.000441028225806452	0.0100008130742337	0.00138888888888889	0	0	0.000688380855766095	0	0	0	0	0	0.00426136363636364	0	0.00606469002695418	0	0.00295800913124558	0.0016	0.0157303370786517	0.00152004560136804	0	0	0	0.00792863453877513	0	0.0072291158874363	0	0	0	0.00669040842782852	0.145824501907588	0	0.00711953164072843	0	0	0.0148305084745763	0	0.0118203309692671	0.004	0	0	0.0167143502484566	0.00597014925373134	0.0129163834126445	0	0	0.00115268549818031	0.00390166707593244	0.000997406742469579	0.108421052631579	0.0136239782016349	0	0	0.00316952334061606	0	0.0182054616384915	0	0.0123326066645905	0	0.000970903616308723	0	0	0.00125	0.000729826222458923	0	0.000434990647701074	0
ERR12448566	0.0404624277456647	0	0.0091118614997052	0.0172247209728469	0.00145642851363379	0.0404984423676012	0	0	0	0	0.00537634408602151	0.00365296803652968	0	0.0188118811881188	0	0	0	0	0	0.0353158567333264	0	0	0.015040825096691	0	0	0	0	0	0	0.0255986787778695	0.00446096654275093	0.0211920529801325	0	0.0517241379310345	0.0129705789307181	0	0.00644386631979187	0.0315944158706833	0	0	0	0.0183548606390211	0.000847457627118644	0	0	0.0264187866927593	0.00111152278621712	0	0	0.00237037037037037	0	0	0	0.125061144627425	0	0	0.0234113712374582	0.00218054949847362	0.0326816745655608	0	0.0672079719505444	0.025466320062024	0	0	0	0	0.276434258501377	0	0.0359900494297806	0	0.00391319586236612	0.00385415392144867	0	0.00465935564520711	6.39372562392106e-05	0.0066856875186305	0.00115307004900548	0.00209351011863224	0	0	0	0.00381679389312977	0.011464628510487	0.00299190425906371	0	0.00214776632302406	0	0.0154320987654321	0	0	0.00422127016129032	0.00939100739897553	0	0	0.00469263256687001	0.0142748451143075	0.0583333333333333	0	0	0	0	0.197443181818182	0	0.00471698113207547	0	0.000385827277988554	0	0	0.00608018240547216	0	0	0	0.0420612899725637	0	0.0119100376689563	0.000675827889164226	0	0	0.00855299429303691	0	0.0384843102427472	0.060045306110441	0	0.0298701298701299	0	0	0.0543735224586288	0.102909090909091	0.00343531241897848	0	0.0445716006625508	0.0442786069651741	0.00815771583956492	0	0.434710743801653	0.0140394503373872	0.00158249433849008	0.0360206320709014	0	0	0.000510578549318697	0	0.0249561497984429	0	0	0.0179856115107914	0.0198691996262846	0.0167542999732644	0.018490183427044	0.0282244830981293	0	0.0259895833333333	0.00564135944927708	0	0.0287963808778111	0
ERR12448568	0	0	0	0.000399800099950025	0.0589853548021685	0	0.0224994591476166	0	0	0	0.0102639296187683	0.0155251141552511	0.00102150074458789	0.00693069306930693	0	0	0.00837404047452896	0	0	0.024902428073084	0.0386740331491713	0	0.00315141097264002	0	0	0.062992125984252	0	0	0.0634920634920635	0	0	0.00794701986754967	0	0	0.0108615417062111	0	0.00253485424588086	0	0	0	0	0.00101971447994562	0	0.0145454545454545	0.0797546012269939	0.00709393346379648	0	0.00810044552450385	0	0.00325925925925926	0.0145985401459854	0.061652739090065	0.0095449500554939	0	0	0	0	0.00322721325774095	0.0416666666666667	0	0.0194131758627053	0.000380048950304799	0	0	0	0.00030132583366814	0.00885482550785029	0	0	0	0.00454663841362834	0.0117256005546719	0	0.0269901698960168	0.000127874512478421	0.0177575267214581	0.026520611127126	0.00251221214235869	0.0657363202350349	0.00810810810810811	0.0128964337412817	0	0.0394374333451831	0.0158394931362196	0.00261917234154007	0.0139604810996564	0.00178784266984505	0	0	0.0870159453302961	0.0542464717741935	0.0834214163753151	0.0607638888888889	0	0.00938526513374003	0.0316655193652404	0.1	0	0.107246376811594	0.0189274447949527	0.0746268656716418	0	0	0.00269541778975741	0.0548780487804878	0.0353675004822841	0.00906666666666667	0.0449438202247191	0.00475014250427513	0.0178571428571429	0	0	0.00659556988513943	0.0344827586206897	0.0376966541103479	0.00281594953818428	0.00527426160337553	0	0.0270745481366691	0	0.0059206631142688	0.06990085610897	0.0637450199203187	0.00779220779220779	0.038135593220339	0	0.00709219858156028	0.00872727272727273	0.00301400051853772	0.00447177193963108	0	0.00497512437810945	0	0	0	0.153371928870239	0.00946768164579411	0.00179533213644524	0	0	0.00220186999393688	0.0206333973128599	0.0156014401329353	0	0	0.0323741007194245	0.0427281220803488	0.0193387398627573	0.0129044151534704	0.0229734164752215	0	0.0106770833333333	0.00147937747795728	0.0089171974522293	0	0
ERR12448569	0	0	0	0	0.0361679747552391	0.0404984423676012	0	0	0	0	0.00586510263929619	0.0232876712328767	0.0010830369340209	0	0	0	0.057920446615492	0	0	0	0	0	0.00143245953301819	0.0187207488299532	0	0.0433070866141732	0	0.0231958762886598	0	0.0545004128819158	0.0520446096654275	0	0.0706521739130435	0	0.0323737213961826	0	0.0011473550797145	0.00587803085966201	0.0154142581888247	0	0	0	0.0113476643241009	0	0	0.228718199608611	0.00185253797702853	0	0	0.008	0	0	0	0	0	0	0	0	0.00291271721958926	0.0176470588235294	0	0.000276675635821894	0	0	0.00339805825242718	0.00462032944957814	0	0	0	0	0.00214148598548548	0.00124393327623476	0	0.000454571282459231	4.26248374928071e-05	0	0.0256558085903719	0	0.0038560411311054	0.00613305613305613	0	0	0	0.00563181978176698	0	0.00257731958762887	0.00595947556615018	0.0277777777777778	0	0.012756264236902	0.106665826612903	0.00447190828522644	0.0211805555555556	0	0	0.0703960001449223	0	0.100529100529101	0.0202898550724638	0	0	0	0.00284629981024668	0	0.0121951219512195	0.00964568194971385	8e-04	0	0.00703021090632719	0	0	0	0.0127183668407918	0	0.0461721692887215	0	0	0	0.00472351775416847	0	0.0313795145056246	0.0388043893971934	0	0	0	0	0.191489361702128	0	0.01283380865958	0	0	0	0.00226603217765692	0	0	0.0498245068707827	0.00305585113639464	0.0072098258812801	0	0.00817438692098093	0	0.0355086372360845	0.057297596701234	0	0	0.0215827338129496	0.0624104640298972	0.0173781302914179	0.0250530002765232	0.0636691828027568	0	0.0417708333333333	0.000453675759906898	0.00382165605095541	0.00226195136804559	0.00367107195301028
ERR12448582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029940119760479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
