feature	X771297580338a662f0c1fb0000f33e3c	b9eadd7c15566af3bb15cee86f75e769	c49bc9c1c22dd48888d2e1e060306218	X1b91af1335f5b38083d553659b358c45	X0ed13e9a3209e5ef433060aacd9e16ad	f64933c998313b78c2179f488bfb0953	b1312478658160c25c92a75d5272c96d	X8878e25191e464f0a29c75e59a14a9c1	X06a6e5bcf8c2b8dc026c93190ef43175	X3a7495f68945aa7071868ee6f0255243	X9132071c6a76ae971f847adc316f0af8	X265f63913fa0c782699945b493eeaeca	X57f0e6566995476b5eae2b4237c930fd	d348b3e42b9cd325d1f0088462aedcf3	X07f847da0f14d338851bff36302b1d5d	X5aaba32e1583dee8243e66c42c2b5d8f	X6529f9e2b6de004f778a46eb4152553f	c5f3f2c2df993aa6d42e7a77918935df	X64c2b64c19934ba2360fe284744fd1ad	X130a8330de52a69354df4f227b62c052	X36e64f6a14c31701a814ed88d61c5cf7	f8975af07a433935c8615060ce6ae7d6	X087666690375b777048b392f8b3086a5	d3a7153014cbb497d7bd025e099be3fe	X43dc4561632b971be06fe9603e0864ad	X7a719f10db03cf19d136e08224ba0da9	dc0a91a3f930fef8628944f01c976b6a	X2fd96dc0d1649785e2b695005e5b6cbb	X81f53cd7f9d10322ad2f9e2e1f30a7cc	X18bbaffee20be0f8ffbf263c1b82da7d	X6da2b787d29350a11f29bcb992887a84	X7130d2759c244668bb8c5e95013d039a	f8f3495ffa8ad111c9a314f196b839e4	X42335451002e743fd705a300b373fb75	X5cf08d107f10bc4571dd491a9bcb59b3	X91ac12f2a71a81a4a145517e0667c7c4	X05b3c37966de355dc39930c4103ff589	X53b54658de0c46c18eda9f4c5a232b65	X8a303db3d6b466981499de25a5ec66d4	X01901d6f4c906a71e2488045523ca7c2	c91f61773a85a5101c797a8429bcb87e	X001f5b5d17a34cb4bb03f20e9b6dc5df	X7c9d107e91d815d347bc278420773c54	da04216f075e5d1b2cddc09c16442df9	X8d7c014aca86872e7451df4c18536eab	a80bf7b1576855543aaeed1c9d8be02d	X05f8c43bb34deb40cbcc164e64410db6	f1767e229fc331132c66ba7f47cc3ea3	X4790469e65b73b73a8cee2300ea51fa7	X06a8b3896e4a86a7c3116e0f4243320c	a7e85c6aac48df33665b07f5620aeef2	ce8273b6d1fea2b1dca4e24ea7b6a20f	X0e21cc1bf0d4d2cf722112c5a4ae3134	X26b0599c6f3f889fc1441babff4f74cd	babe546a127e4bbe62e70c16fdffa445	X68a1c62a19d5dd68a1040859934424ab	X2cededbc6f5d2e4e6460d95dd642ab39	f929e8cafcf24c0b194d9e48dbc3b231	X4cc94dcec64fcf2693e3fd9bf39bf861	X04ed5d51a7dfe83b5376c26987e076cd	X06f459e94bb69e7b8f7bdffcea3e2dc2	X2dd19b4e6a7867a118b429880e0949d3	X6a506a10888b7f86ae1e463f5d186473	X000d78770aa3b46d4f84568a723d1c62	e3b9d440eb993245b3b1d99e260ecc19	f2ae9532a9ca729854cdf2c07064f994	X5e22ac39af6385a9a5d7a57992e0d8ba	X86ec537716ccea996d29a025dbd0e0da	X932d0c1f666b3a433687e95af993451a	X7ef15f834ddeffade9a799c5697cc61a	X16d12481fde3cfa6a4db366d25411122	X68125101a0cb11e3324fde7378226ba1	X792add25fd6668fad2a952ef3b123c8b	X98eb701f5f4286f77b9e839055caf304	X25c1653a751b87e522eb1d73426f2d0b	fc89b71ba14dc877e9e8527e6ed60391	X7f6dec8c96033aba04deee885932a9a7	X80ab11a5d085a5bcce2d24702f32bef1	X3f9e29a1882407186ab82a472f22cf3c	X9f9df4b3b3d526b6b619dc40863ad440	X973fc25b140faf326d124b9e2b6c8abf	X4517bdd009f366580e3ea16dd9dce1a7	fbd1882d5055c77a88c20831b56943f3	X484cb0f953ccaafa5a0308ae49649e41	X73e5b567bf8428743df8b7f78c8ec1b0	df6598227bff6741eee326b1cfce64bc	b9abed8a2eca761efe3e1e92673141cf	X35fdc9ee28cfc2bbde8d1a15cbb278fe	X13fae76db728266d715f43da8b06cb88	X217e0615440425fc33232133073bbca1	e174d720ff388a11cfdb310730da02d6	X24e658af979937b9200c49292aa8d919	X3b482af565b56c1b175737c5a08f86fb	b3879d9217bbd709b5f87450728b376c	X699913be41bb8e0253dcbfa042984047	X8701bea1e2e80de700c6f7848103f86d	X900bca7fdfd6334ecb71c7d66951a14f	X15de8f3c7d606dc32447b7267f7c265e	X07b64b23fa88ace003944a6bd9ee7bb7	X027db393f177304c52d7ec941f8abcf2	X1a5a9a605e5854850568c0c6fbf6dc02	X9a5ad3e5c9abb12041ebce1cf20b2b3c	X2bb41e138153ad02a6fa5519b33bce6b	d4debe4c70fe5b905a42e3561015b680	ce7260fe3f31c7fa47ae17dc33d2b8f7	d00c0229d6c816a536d76703e1657694	X0a07b7b208f82e574548033057612667	f026bc3d92e943febaa74d620be5400d	dc64f4ef4d4f99019072896947b19e4a	X52587fe587b5a2f19c6d2c4bf275d9e3	X2f2ff15fe3d7d5b9f3eaf57c0085d696	cd97244e66c39dce8f4676f84c858217	f769025ae5e54c2b1c149e59018be56b	X2a65ea84af79ed5b12133b79a4316e73	d0d50837ea593505e44f737833bece1d	X6095f2881754dad1717ec230da3fdd17	X20ec2008e0cde12ae9db741e1fdbf894	X504687adb582701412c2398587d62e90	X91a87325405bbe801e6b80e84794a59c	b606c96aedd0a6e01aa38924a1e6ac97	X097138be3a15c87233cb01e6ee6a4da4	X99d3a570385395e7b7bbc7730e1e2241	cee9524606a8ab5eadbae08cbd21e830	X42f2c85e07acb225914a6f74539a7493	d00543d8297858e5fa92233bead584fb	X2440362c889061ed1e3336b6294559b9	X3a8cde26979f03989e6a8daa6b6afe3f	X4499b0901e611126af0d04752c158976	X6f6bb5719a47837bec3b21f081649fa1	X624bf43afb17a855a6d5c7b51078d497	X51aa2158188e220896f9ae6799b3799f	X70ac971d9d8650d6d1b756a39b8709c8	cfccfa9165148a389d5d226d7f97efff	X250ae434718610d409882ad11002f97d	X9b240322f8821ffba1a5f8bb330b0939	X45c8d14eb00ef2e9f7e2c5dd9f9e58bc	X7b73f487be48db4355bd16e9c7fcd104	d062c370afa965a780cca734ce7f438f	ad6578b29eaa8bbabaa2b32058cf16b9	X34b8adfd383e67b3a25385389ecc77de	feb2e37114daa6d2f4387811e83850ba	X14e5bc76eb89c574b800654364a9a6d2	X37bcb14fa58242d26a64d6e6f3c67665	d5cbbc9a01e17da0efbca098fa6736f9	X0d3b0b9d68763805793f9266323bf863
ERR12448532	0.298887770997925	0	0	0.0152720285895437	0	0.125131437284333	0.0633060704240256	0.324345752663925	0	0.0578990356358816	0.0291451523067937	0	0	0	0.197285761431252	0.182580984676188	0.17603745913401	0	0	0	0	0	0	0	0.155373054615036	0.136761395823872	0.0814689367446136	0.181574872991957	0	0.159765084212287	0.106629672286971	0.0309981301443611	0	0	0	0.0692820855520663	0.052169981281015	0.0213260944640814	0	0	0.0871918362823238	0.261948502610122	0	0	0	0	0	0	0	0	0	0.144582454389366	0.240798938777058	0.218668945873942	0.209870749492549	0.0228034446979536	0.0428799063311899	0	0	0.0141738259478193	0	0	0.047573102429182	0.0353627089012539	0.0035863397542281	0	0	0	0.0612549445696575	0	0	0	0.0198706001839174	0	0	0	0	0	0	0	0	0	0.0578181383816853	0	0	0	0	0.119916097998187	0	0	0	0.283282165310539	0	0	0	0.0513693165549407	0	0.0410650820113226	0.117231626146645	0	0	0.0909778059099492	0	0.0979097609477564	0	0	0	0.0590831684391457	0	0.0974839781713784	0.0216976199421894	0	0	0	0	0.0910887144188992	0.0739222007380989	0.0799883081468471	0	0	0.0315492484174493	0	0	0	0.148668208432368	0.0188345148993426	0.0996059388845671	0	0	0	0	0.201367342566067	0	0	0	0.0890575904644048	0.168072107916776	0.115867419382783	0.140791073595676	0	0.0637809787694608	0.0188439014797045	0	0.0401289122461643	0
ERR12448550	0	0	0.0502123485549014	0.070039756641525	0	0.23907198849904	0.0120097558926048	0	0	0	0	0	0	0	0	0	0.115496108381402	0	0.0508000620818592	0	0	0	0	0.134724863083131	0	0	0.155025712813662	0	0.186779461081594	0.178211826507847	0	0	0	0	0	0	0	0.0187463605695774	0.113055901003853	0.237196073188776	0.231390863316002	0	0	0	0	0.290228879712205	0	0	0	0	0	0.0295376625098764	0.0450050969591696	0.108679039713782	0.0171839020926364	0.00718940524449092	0	0	0	0	0	0	0	0	0.0340295006793133	0.0168973387234967	0.0391786075345676	0.0172660824178993	0.171470264634155	0	0.0559000050450127	0.171134075642505	0	0	0	0.0593634989122245	0	0.133101677633433	0	0.0963741624672921	0.203430740271083	0.414491136109716	0.273626953804757	0.41025785842162	0.134778640684869	0	0	0.0318559134858159	0.158780214645761	0	0.352822023299118	0	0.0435744722711169	0	0.110657221173896	0.0519925559883297	0.299292876375519	0	0.1620488732018	0	0	0	0	0	0.042465178642444	0.182425109105738	0.279809315712489	0.2000062057207	0	0	0.17315538889572	0.62320609633128	0	0	0.563942641360629	0	0.205947719218859	0.310920079878856	0.204810011330071	0	0	0	0.560837776463455	0.0814014299673568	0	0.14121138395308	0.200436843660505	0	0.157245942646663	0.0455594236375771	0.182979258661586	0	0	0	0.249879746478486	0	0.150426239772759	0.281264537453043	0.148835239246525	0	0	0.124118073122617	0.380920210077867	0.0988716499174046	0.0664211595390861
ERR12448551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.429830320834037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR12448557	0.309008626587339	0.142980773522442	0	0.00999766748634537	0	0	0.0544020058904875	0	0	0.181472381258479	0	0	0	0	0.504043525933267	0	0.130528894060033	0	0	0	0	0	0.510949540442691	0	0.0997099322478955	0.173318673464127	0.120999374256741	0.313507409887525	0	0.109378673753036	0.23676106440331	0.111981340573716	0.0858231021867428	0	0	0	0	0.0516600844663821	0.113055901003853	0	0.0798348779315145	0.135151082152447	0	0.117012845455088	0	0	0	0	0.0127593513375769	0	0.153611147895438	0	0.0566777208286994	0.413918321731503	0.160616793570166	0.0332732782866311	0	0.0253959299648005	0	0.0224119123869624	0.0121995073621826	0	0.0397980063855498	0	0.00567051927679587	0.0255479383409042	0.0168562736457433	0.135893712442098	0.0294117654396251	0	0	0.049968789654701	0.0836114677154193	0.0488609809995629	0.0583374204569316	0	0	0	0	0	0	0	0.15411343053042	0.206895765682943	0	0	0	0.11868975213568	0	0	0	0.240682642229264	0	0.0550946006325221	0	0.106281527199102	0	0	0.110498771504223	0	0	0.173177076435416	0.121867567685755	0.107028740835283	0	0.0481920378105488	0	0.0779543398034187	0	0.198988055089686	0.167877697135267	0	0.149138663808998	0.130559509885021	0	0.137960048241013	0.165904586879706	0.0278928006868105	0.0528910681790023	0	0.0315492484174493	0	0	0.269861329204226	0.0810421902499729	0.0864129911146888	0.114494372148464	0.655521529125436	0.14818441993693	0	0	0.138905643278386	0.0712350589007074	0.230094257600796	0	0.137125226118184	0.185325669064169	0.0898420312079498	0.164792766954582	0.213323306136749	0.143008888636765	0.0384721662158198	0	0.0349065698939791	0
ERR12448559	0	0	0	0.263485371938218	0	0	0	0	0.219495658634085	0	0.0836331055292633	0	0	0.140242767937792	0	0	0.0137831445405176	0	0.0728662508905767	0.168368590250522	0.146654976024801	0	0	0	0.11152551042788	0	0.0728518777209356	0	0	0.131889084053993	0	0	0	0	0	0	0	0.455013343604039	0	0.274773955385502	0.0469380771628167	0.241200472791618	0	0	0	0.214951118902564	0	0.352495426565439	0	0	0	0.0132081075248033	0.0344282204465156	0.108679039713782	0.0192124230138281	0.00760056266599127	0	0	0	0	0	0	0	0	0.23758487253834	0.145582323863612	0.0809243168827381	0	0.21781861122517	0.123083801418613	0.17602096174152	0	0	0	0	0.0948825408103749	0	0	0.0345306958004795	0.0786484761691239	0	0.183392395747373	0.0674030138510145	0	0	0	0	0.0190354794308214	0	0	0	0	0	0	0	0	0	0	0.213831735742048	0	0	0	0	0	0.069244296507776	0	0.130559509885021	0	0	0	0.0553421989681589	0	0	0	0	0	0	0.0205273252433235	0	0	0	0	0	0.107773600235477	0	0	0.354796147898808	0	0	0.0600858026314224	0.0619975300349073	0	0	0	0	0	0	0.136195769126985	0	0	0	0.458340073217824	0	0.268594987346854	0.212055656990845
ERR12448564	0	0	0	0.0152720285895437	0.20292942652233	0	0.0488020555285877	0	0	0.141134023128088	0	0.151483552724949	0.0929013068464175	0	0.15781060857086	0.169846288083674	0.0517604455788848	0	0	0	0	0	0	0	0.0406501862968317	0	0.0514912517959004	0	0	0.0324790623432675	0.106629672286971	0.157584865755134	0.141318600642157	0.274003496810811	0	0.091706770851992	0.119768357726059	0.208811760943053	0	0	0.0682273254502954	0	0	0.034433322562319	0.160524192710105	0	0	0	0.110425455729744	0	0	0.0925862861107431	0.0557980228963919	0	0.0359486833725418	0.242978943309495	0.131808348549718	0.213048696411658	0.120972541382988	0.0567238196095823	0.0272816352188852	0.143347568905365	0.113638446853638	0.17408301063648	0.00998409180802775	0.00903170045533143	0.0184652975324736	0.027689490276419	0.0480407643814888	0	0.0303048864237993	0.0901671623874764	0.0787262223477923	0.143725832001118	0.0686854273031809	0	0.039652582554377	0.0414632131724542	0	0.068093992489726	0	0	0.0210022159868826	0.100171506931107	0.0372764318266803	0	0	0.0262400241968396	0	0	0	0.0653255731279622	0	0.0779550511048453	0	0.0544144314246905	0.0400106743539889	0.125751808338623	0.0389976461584523	0	0	0.0891609668864859	0	0.0851269839913961	0	0	0	0.0818863994764768	0.391818512979925	0	0.0844777603946451	0	0	0.122083613202858	0	0.108936679930618	0.063287792981362	0	0	0.129646876450364	0.0773438305444515	0.113896359465175	0	0	0.0339577482362693	0.0625040158465327	0.0315869993148716	0.335534089425048	0.116988472366284	0	0	0.056328302289381	0	0.135340410371428	0	0.111281806776691	0	0.0311643706347689	0	0	0.0353627089012539	0.0270185832413957	0	0.0208579417638818	0
ERR12448566	0.202534580154253	0	0.095601632440968	0.131622705795981	0.0381724524324188	0.20262594925949	0	0	0.0733894190904279	0.0604766465782738	0	0.137590121383648	0	0	0	0	0.189049216143963	0	0.122950578395619	0	0	0	0	0	0.160686470194475	0.0668402257457106	0.146094043018882	0	0.229437102507055	0.114136097562238	0	0.0803601594305352	0.178697719033489	0	0	0	0.135898025821505	0.0291152387966953	0	0	0.163262893059454	0.0333456872498212	0	0.0487057042543497	0	0	0	0.361459556207084	0	0	0.153611147895438	0.046713341523723	0.181780208944303	0	0.262240398674293	0.160266911657102	0	0	0	0	0.553620260128114	0	0.190867218144319	0	0.0625964129126668	0.0621217806055488	0.0683125919112465	0.081857439171038	0.033963414315053	0.0457708715256694	0	0	0	0.061819574361639	0.107278660322757	0.0547256142939594	0	0.0463606052610791	0	0.124547749490387	0	0	0.0650170998835747	0.0970595308894938	0	0	0.0685564822612502	0.119763478419855	0.243934953208488	0	0	0.460443866402869	0	0.0687343908393059	0	0.0196437498736354	0	0	0.0780547589529582	0	0	0.20655412134391	0	0.109350918285217	0.0259996190711151	0	0	0.0926147434883795	0	0.197454758070531	0.247562432889558	0	0.173701954443617	0	0	0.235347898941329	0.326568168157024	0.0586451484162664	0	0.212720514816758	0.212009494084437	0.0904433283165639	0	0.719921930533298	0.118767204375938	0.0397910769711252	0.190949295664339	0	0	0.0225979085272853	0	0.158639721555007	0	0	0.134515743865152	0.141429159742025	0.129802596427958	0.136401184340051	0.168801939533379	0	0.161919455720034	0.0751797831543476	0	0.170520135930972	0
ERR12448568	0	0	0	0.0199963344479344	0.245322320670088	0	0.150566449293933	0	0.101485167433554	0.124924493878382	0.0319663691316772	0.0833472496299492	0	0.0916379849565034	0	0	0.158467436733489	0	0.0561669565822647	0	0	0.253694926087604	0	0	0	0	0.0892645576923989	0	0	0.10440831131177	0	0.0503686308616423	0	0	0	0	0.0319383981195617	0	0.12089884292801	0.286303959088702	0.0843253926822516	0	0.090124430202447	0.0571209799540616	0.121120343537706	0.250924585869996	0.0978543524692658	0	0	0	0	0.0568391667832439	0.205568931161174	0	0.139785967792712	0.0194960792417566	0	0	0	0.017359611294199	0.0942395120013348	0	0	0	0.0674799660035899	0.108497554075496	0.165034996900193	0.133654942338797	0.163580049087732	0.050142982582004	0.259286484143015	0.0901671623874764	0.113807985587497	0	0.199917631248775	0.126189685560906	0.0512002170806194	0.11843113694432	0.0422954979568581	0	0	0.299439456605119	0.235067592681802	0.293002081688524	0.249070578298555	0	0.0970297586294717	0.178900856940291	0.321750554396642	0.333640484602645	0.276696377962669	0	0	0.0519407646866747	0.236457978808076	0.189189064527193	0.0953635225169545	0.213620591285994	0.068975958867961	0.134031561411219	0	0.0813026544709125	0.186779461081594	0.195397271656203	0.0530904577644045	0.072688103478238	0	0.165295138273334	0	0.0770219767511382	0.267568975721612	0.255240124721307	0.0883885276994	0.196546371123349	0	0.0843150562959364	0.0935562931916167	0.0549275291805575	0.0669212482246731	0	0.0705931792840474	0	0	0	0.40239947621686	0.0974562078103957	0.0423840485585749	0	0	0.0469413247745855	0.144141917460696	0.125232811448637	0	0	0.180913300092996	0.208208902966761	0.139515963685869	0.113843350066716	0.152156269421828	0	0.103514739313907	0.0384721662158198	0.0945718229988629	0	0
ERR12448569	0	0	0	0	0.19134426392462	0.20262594925949	0	0	0.0766590185117718	0.153201574704759	0.0329154697625358	0	0	0.243052652083075	0	0	0	0	0.037856888886311	0.137254331812872	0	0.209635657528605	0	0.152896953029907	0.235627543721039	0.230159558326315	0	0.269038623144978	0	0.180912228504386	0	0.0338791109139866	0.0767436263438525	0.124475361392825	0	0	0	0.106727921235127	0	0	0.498655181226028	0.0430544199158425	0	0.0895624074394449	0	0	0	0	0	0	0	0	0.0539958294205493	0.133236080985163	0	0.0166343366581579	0	0	0.0583259305661759	0.0680254573758243	0	0	0	0	0.0462927249995438	0.0352767545091428	0.0213222929703426	0	0.160867237279099	0	0.0621370074956973	0.078394103305374	0	0	0	0.0751160709684233	0	0.0507891408504755	0.077274522242235	0.167448079219689	0	0.113185145086311	0.332701256736011	0.0669222699665856	0.146054122796101	0	0	0.26853833867027	0	0.142928603703879	0	0	0.0533760657163645	0	0.110657221173896	0.0983710096948899	0.0282880438419201	0	0.0839449080015918	0	0	0.113016169415357	0	0.216565991449137	0	0	0	0.0687820743638345	0	0.17808241231009	0.198285073788183	0	0	0	0	0.452922216397128	0	0.11353012724607	0	0	0	0.047620855548957	0	0	0.225110461764593	0.0553079466401137	0.0850130579107205	0	0.0905359490667648	0	0.189570754065304	0.241716074628516	0	0	0.147444286975358	0.252495248570881	0.13221096901059	0.1589498638138	0.255084867412754	0	0.20582941855735	0.0213012765754469	0.0618589876235629	0.0475779245359269	0.0606265043166859
ERR12448582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173907413588142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
